03:17:51 | DEBUG    | compare              | segment pair (0,0) fused_sim=0.6222
03:17:51 | DEBUG    | compare              | segment pair (0,1) fused_sim=0.6033
03:17:51 | DEBUG    | compare              | segment pair (0,2) fused_sim=0.5916
03:17:51 | DEBUG    | compare              | segment pair (0,3) fused_sim=0.6609
03:17:51 | DEBUG    | compare              | segment pair (0,4) fused_sim=0.6025
03:17:51 | DEBUG    | compare              | segment pair (1,0) fused_sim=0.7410
03:17:51 | DEBUG    | compare              | segment pair (1,1) fused_sim=0.8013
03:17:51 | DEBUG    | compare              | segment pair (1,2) fused_sim=0.7865
03:17:51 | DEBUG    | compare              | segment pair (1,3) fused_sim=0.8236
03:17:51 | DEBUG    | compare              | segment pair (1,4) fused_sim=0.7079
03:17:51 | DEBUG    | compare              | segment pair (2,0) fused_sim=0.6989
03:17:51 | DEBUG    | compare              | segment pair (2,1) fused_sim=0.7278
03:17:51 | DEBUG    | compare              | segment pair (2,2) fused_sim=0.7200
03:17:51 | DEBUG    | compare              | segment pair (2,3) fused_sim=0.7743
03:17:51 | DEBUG    | compare              | segment pair (2,4) fused_sim=0.6704
03:17:51 | DEBUG    | compare              | segment pair (3,0) fused_sim=0.7106
03:17:51 | DEBUG    | compare              | segment pair (3,1) fused_sim=0.7298
03:17:51 | DEBUG    | compare              | segment pair (3,2) fused_sim=0.7228
03:17:51 | DEBUG    | compare              | segment pair (3,3) fused_sim=0.7896
03:17:51 | DEBUG    | compare              | segment pair (3,4) fused_sim=0.6793
03:17:51 | DEBUG    | compare              | segment pair (4,0) fused_sim=0.7755
03:17:51 | DEBUG    | compare              | segment pair (4,1) fused_sim=0.7092
03:17:51 | DEBUG    | compare              | segment pair (4,2) fused_sim=0.6991
03:17:51 | DEBUG    | compare              | segment pair (4,3) fused_sim=0.7944
03:17:51 | DEBUG    | compare              | segment pair (4,4) fused_sim=0.7163
03:17:51 | INFO     | arrayops             | ArrayOps: CPU (NumPy)
03:17:51 | DEBUG    | compare              | segment pair (0,0) fused_sim=0.6132
03:17:51 | DEBU03:17:52 | INFO     | baseline             | Baseline done: 28 pairs, median=0.785
03:17:52 | DEBUG    | dashboard            | [JOB 60a7b9fe] Progress: 60% - Baseline ready [1/1]
03:17:52 | DEBUG    | dashboard            | [JOB 60a7b9fe] Progress: 60% - Classifying... [0/28]
03:17:52 | INFO     | analyze              | HIGH SIMILARITY: Afro_Shev,_Marshal_Soul_-_Mutter.m4a <-> В_темноте - Copy.m4a = 0.8898 (GREEN)
03:17:52 | INFO     | analyze              | HIGH SIMILARITY: Afro_Shev,_Marshal_Soul_-_Mutter.m4a <-> House_of_Dragon_S02_E01_1.mp3 = 0.8602 (GREEN)
03:17:52 | INFO     | analyze              | HIGH SIMILARITY: Afro_Shev,_Marshal_Soul_-_Mutter.m4a <-> В_темноте.m4a = 0.8898 (GREEN)
03:17:52 | INFO     | analyze              | HIGH SIMILARITY: House_of_Dragon_S02_E01_1.mp3 <-> В_темноте - Copy.m4a = 0.8233 (GREEN)
03:17:52 | DEBUG    | dashboard            | [JOB 60a7b9fe] Progress: 72% - Classifying... [10/28]
03:17:52 | INFO     | analyze              | HIGH SIMILARITY: House_of_Dragon_S02_E01_1.mp3 <-> В_темноте.m4a = 0.8233 (GREEN)
03:17:52 | INFO     | analyze              | HIGH SIMILARITY: tochka_k_-_Приём_Феникса.m4a <-> В_темноте - Copy.m4a = 0.8236 (GREEN)
03:17:52 | INFO     | analyze              | HIGH SIMILARITY: tochka_k_-_Приём_Феникса.m4a <-> В_темноте.m4a = 0.8236 (GREEN)
